Total de equipos en la BD: 2404

Stints  País                  Nombre
    14  Desconocido           Troyes
    14  Desconocido           AZ
    14  Desconocido           Clermont
    14  Desconocido           1. FC Nürnberg
    14  Desconocido           Vitesse
    14  Desconocido           Caen
    14  Desconocido           Hajduk Split
    13  Desconocido           Sporting CP B
    13  Desconocido           Celta B
    13  Desconocido           Birmingham City
    13  Desconocido           Rennes II
    13  Desconocido           Betis B
    13  Desconocido           AFC Bournemouth
    12  Desconocido           Willem II
    12  Desconocido           Internacional
    12  Desconocido           Villarreal C
    12  Desconocido           Atlético Madrid B
    12  Desconocido           Eibar
    12  Desconocido           Young Boys
    12  Desconocido           Crotone
    12  Desconocido           Deportivo La Coruña
    12  Desconocido           Sparta Prague
    12  Desconocido           Metz B
    12  Desconocido           Newell's Old Boys
    12  Desconocido           Wigan Athletic
    12  Desconocido           Luton Town
    12  Desconocido           Charleroi
    12  Desconocido           PSV Eindhoven
    12  Desconocido           Pisa
    12  Desconocido           Avellino
    12  Desconocido           Cercle Brugge
    12  Desconocido           Ascoli
    12  Desconocido           Sturm Graz
    12  Desconocido           Darmstadt 98
    12  Desconocido           1. FC Köln II
    12  Desconocido           Greuther Fürth
    11  Desconocido           Vélez Sarsfield
    11  Desconocido           Charlton Athletic
    11  Desconocido           Real Sociedad C
    11  Desconocido           Cruzeiro
    11  Desconocido           Panathinaikos
    11  Desconocido           Dijon
    11  Desconocido           Lille B
    11  Desconocido           Sheffield Wednesday
    11  Desconocido           Bristol Rovers
    11  Desconocido           Plymouth Argyle
    11  Desconocido           Juventus U23
    11  Desconocido           Bastia
    11  Desconocido           Monaco B
    11  Desconocido           Schalke 04 II
    11  Desconocido           Palermo
    11  Desconocido           Padova
    11  Desconocido           Valenciennes
    11  Desconocido           SC Paderborn
    11  Desconocido           Dynamo Dresden
    11  Desconocido           Paris FC
    10  Desconocido           Al-Nassr
    10  Desconocido           Partizan
    10  Desconocido           Sevilla B
    10  Desconocido           Borussia Mönchengladbach II
    10  Desconocido           Reggina
    10  Desconocido           Derby County
    10  Desconocido           Yeovil Town
    10  Desconocido           Rapid Wien
    10  Desconocido           Red Star Belgrade
    10  Desconocido           Twente
    10  Desconocido           Palmeiras
    10  Desconocido           Amiens
    10  Desconocido           Swansea City
    10  Desconocido           Sint-Truiden
    10  Desconocido           Millwall
    10  Desconocido           Bristol City
    10  Desconocido           Fortuna Düsseldorf
    10  Desconocido           Paris Saint-Germain B
    10  Desconocido           Lausanne-Sport
    10  Desconocido           Bari
    10  Desconocido           Al-Hilal
     9  Desconocido           Inter Miami
     9  Desconocido           Rio Ave
     9  Desconocido           Sporting Gijón
     9  Desconocido           Tenerife
     9  Desconocido           Albacete
     9  Desconocido           Sparta Rotterdam
     9  Desconocido           Vicenza
     9  Desconocido           Midtjylland
     9  Desconocido           NEC
     9  Desconocido           Doncaster Rovers
     9  Desconocido           Werder Bremen II
     9  Desconocido           Toulouse II
     9  Desconocido           Shakhtar Donetsk
     9  Desconocido           Estoril
     9  Desconocido           Saint-Étienne B
     9  Desconocido           Burton Albion
     9  Desconocido           Brøndby
     9  Desconocido           Nîmes
     9  Desconocido           Atalanta U23
     9  Desconocido           St. Gallen
     9  Desconocido           Spartak Moscow
     9  Desconocido           Cesena
     9  Desconocido           Standard Liège
     9  Desconocido           SV Sandhausen
